"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Platform Parity","Products Parity","0","0","1","0","0"
"","Android Login","UI Elements","0","0","4","0","0"
"","Platform Parity","Login Parity","0","0","2","0","0"
"","Android Products","Product Listing","0","0","1","0","0"
"","iOS Login","UI Elements","0","0","4","0","0"
"","Android Login","Authentication","0","0","2","0","0"
"","iOS Products","Sorting","0","0","1","0","0"
"","iOS Cart","Cart Items","0","0","1","0","0"
"","Android Products","Page Load","0","0","1","0","0"
"","iOS Products","Navigation","0","0","1","0","0"
"","iOS Products","Cart","0","0","1","0","0"
"","iOS Login","Authentication","0","0","2","0","0"
"","Android Cart","Page Load","0","0","1","0","0"
"","Android Cart","Cart Items","0","0","1","0","0"
"","Android Cart","Checkout","0","0","1","0","0"
"","iOS Cart","Page Load","0","0","1","0","0"
"","Android Products","Cart","0","0","1","0","0"
"","iOS Products","Page Load","0","0","1","0","0"
"","Platform Parity","Cart Parity","0","0","1","0","0"
"","Android Products","Sorting","0","0","1","0","0"
"","iOS Cart","Checkout","0","0","1","0","0"
"","Android Products","Navigation","0","0","1","0","0"
"","iOS Products","Product Listing","0","0","1","0","0"
