"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 29 11:42:01 UTC 2026","Wed Apr 29 11:42:01 UTC 2026","0","tests","iOS Test Suite","TestIOSCart","","","Cart item count readable on iOS",""
"passed","Wed Apr 29 11:42:01 UTC 2026","Wed Apr 29 11:42:01 UTC 2026","0","tests","Cross-Platform Suite","TestCrossPlatform","","","Login button displayed on both platforms",""
"passed","Wed Apr 29 11:42:01 UTC 2026","Wed Apr 29 11:42:01 UTC 2026","0","tests","iOS Test Suite","TestIOSLogin","","","Login button is displayed on iOS",""
"passed","Wed Apr 29 11:42:01 UTC 2026","Wed Apr 29 11:42:01 UTC 2026","0","tests","iOS Test Suite","TestIOSLogin","","","Password field accepts input on iOS",""
"passed","Wed Apr 29 11:42:01 UTC 2026","Wed Apr 29 11:42:01 UTC 2026","2","tests","iOS Test Suite","TestIOSLogin","","","Valid credentials trigger login on iOS",""
"passed","Wed Apr 29 11:42:01 UTC 2026","Wed Apr 29 11:42:01 UTC 2026","1","tests","iOS Test Suite","TestIOSLogin","","","Username field accepts input on iOS",""
"passed","Wed Apr 29 11:42:01 UTC 2026","Wed Apr 29 11:42:01 UTC 2026","1","tests","iOS Test Suite","TestIOSCart","","","Checkout button present on iOS",""
"passed","Wed Apr 29 11:42:01 UTC 2026","Wed Apr 29 11:42:01 UTC 2026","0","tests","iOS Test Suite","TestIOSCart","","","Cart screen accessible on iOS",""
"passed","Wed Apr 29 11:42:01 UTC 2026","Wed Apr 29 11:42:01 UTC 2026","0","tests","Android Test Suite","TestAndroidCart","","","Cart item count is readable",""
"passed","Wed Apr 29 11:42:01 UTC 2026","Wed Apr 29 11:42:01 UTC 2026","0","tests","iOS Test Suite","TestIOSProducts","","","Cart badge count readable on iOS",""
"passed","Wed Apr 29 11:42:01 UTC 2026","Wed Apr 29 11:42:01 UTC 2026","0","tests","Cross-Platform Suite","TestCrossPlatform","","","Login button enabled on both platforms",""
"passed","Wed Apr 29 11:42:01 UTC 2026","Wed Apr 29 11:42:01 UTC 2026","0","tests","Android Test Suite","TestAndroidCart","","","Checkout button is present",""
"passed","Wed Apr 29 11:42:01 UTC 2026","Wed Apr 29 11:42:01 UTC 2026","1","tests","iOS Test Suite","TestIOSProducts","","","Cart button accessible on iOS",""
"passed","Wed Apr 29 11:42:01 UTC 2026","Wed Apr 29 11:42:01 UTC 2026","1","tests","Cross-Platform Suite","TestCrossPlatform","","","Products page loads on both platforms",""
"passed","Wed Apr 29 11:42:01 UTC 2026","Wed Apr 29 11:42:01 UTC 2026","0","tests","Android Test Suite","TestAndroidLogin","","","Login button is enabled and tappable","Verify login button is tappable."
